Dialect Telugu,Standard Telugu,English Meaning
meeru emi chesthunnaru_129,meeru emi chesthunnaru_129,What are you doing? (129)
evandi meeku ela vundi_130,meeru ela unnaru_130,How are you? (130)
inka emaina kavala_131,inka emi kavali_131,Do you need anything else? (131)
vellipothunnanu_132,nenu velladam jarugutundi_132,I am going now (132)
ekkada kalustharu_133,meeru ekkada kalustharu_133,Where will you meet? (133)
meeru emi chesthunnaru_134,meeru emi chesthunnaru_134,What are you doing? (134)
evandi meeku ela vundi_135,meeru ela unnaru_135,How are you? (135)
inka emaina kavala_136,inka emi kavali_136,Do you need anything else? (136)
vellipothunnanu_137,nenu velladam jarugutundi_137,I am going now (137)
ekkada kalustharu_138,meeru ekkada kalustharu_138,Where will you meet? (138)
meeru emi chesthunnaru_139,meeru emi chesthunnaru_139,What are you doing? (139)
evandi meeku ela vundi_140,meeru ela unnaru_140,How are you? (140)
inka emaina kavala_141,inka emi kavali_141,Do you need anything else? (141)
vellipothunnanu_142,nenu velladam jarugutundi_142,I am going now (142)
ekkada kalustharu_143,meeru ekkada kalustharu_143,Where will you meet? (143)
meeru emi chesthunnaru_144,meeru emi chesthunnaru_144,What are you doing? (144)
evandi meeku ela vundi_145,meeru ela unnaru_145,How are you? (145)
inka emaina kavala_146,inka emi kavali_146,Do you need anything else? (146)
vellipothunnanu_147,nenu velladam jarugutundi_147,I am going now (147)
ekkada kalustharu_148,meeru ekkada kalustharu_148,Where will you meet? (148)
meeru emi chesthunnaru_149,meeru emi chesthunnaru_149,What are you doing? (149)
evandi meeku ela vundi_150,meeru ela unnaru_150,How are you? (150)
inka emaina kavala_151,inka emi kavali_151,Do you need anything else? (151)
vellipothunnanu_152,nenu velladam jarugutundi_152,I am going now (152)
ekkada kalustharu_153,meeru ekkada kalustharu_153,Where will you meet? (153)
meeru emi chesthunnaru_154,meeru emi chesthunnaru_154,What are you doing? (154)
evandi meeku ela vundi_155,meeru ela unnaru_155,How are you? (155)
inka emaina kavala_156,inka emi kavali_156,Do you need anything else? (156)
vellipothunnanu_157,nenu velladam jarugutundi_157,I am going now (157)
ekkada kalustharu_158,meeru ekkada kalustharu_158,Where will you meet? (158)
meeru emi chesthunnaru_159,meeru emi chesthunnaru_159,What are you doing? (159)
evandi meeku ela vundi_160,meeru ela unnaru_160,How are you? (160)
inka emaina kavala_161,inka emi kavali_161,Do you need anything else? (161)
vellipothunnanu_162,nenu velladam jarugutundi_162,I am going now (162)
ekkada kalustharu_163,meeru ekkada kalustharu_163,Where will you meet? (163)
meeru emi chesthunnaru_164,meeru emi chesthunnaru_164,What are you doing? (164)
evandi meeku ela vundi_165,meeru ela unnaru_165,How are you? (165)
inka emaina kavala_166,inka emi kavali_166,Do you need anything else? (166)
vellipothunnanu_167,nenu velladam jarugutundi_167,I am going now (167)
ekkada kalustharu_168,meeru ekkada kalustharu_168,Where will you meet? (168)
meeru emi chesthunnaru_169,meeru emi chesthunnaru_169,What are you doing? (169)
evandi meeku ela vundi_170,meeru ela unnaru_170,How are you? (170)
inka emaina kavala_171,inka emi kavali_171,Do you need anything else? (171)
vellipothunnanu_172,nenu velladam jarugutundi_172,I am going now (172)
ekkada kalustharu_173,meeru ekkada kalustharu_173,Where will you meet? (173)
meeru emi chesthunnaru_174,meeru emi chesthunnaru_174,What are you doing? (174)
evandi meeku ela vundi_175,meeru ela unnaru_175,How are you? (175)
inka emaina kavala_176,inka emi kavali_176,Do you need anything else? (176)
vellipothunnanu_177,nenu velladam jarugutundi_177,I am going now (177)
ekkada kalustharu_178,meeru ekkada kalustharu_178,Where will you meet? (178)
meeru emi chesthunnaru_179,meeru emi chesthunnaru_179,What are you doing? (179)
evandi meeku ela vundi_180,meeru ela unnaru_180,How are you? (180)
inka emaina kavala_181,inka emi kavali_181,Do you need anything else? (181)
vellipothunnanu_182,nenu velladam jarugutundi_182,I am going now (182)
ekkada kalustharu_183,meeru ekkada kalustharu_183,Where will you meet? (183)
meeru emi chesthunnaru_184,meeru emi chesthunnaru_184,What are you doing? (184)
evandi meeku ela vundi_185,meeru ela unnaru_185,How are you? (185)
inka emaina kavala_186,inka emi kavali_186,Do you need anything else? (186)
vellipothunnanu_187,nenu velladam jarugutundi_187,I am going now (187)
ekkada kalustharu_188,meeru ekkada kalustharu_188,Where will you meet? (188)
meeru emi chesthunnaru_189,meeru emi chesthunnaru_189,What are you doing? (189)
evandi meeku ela vundi_190,meeru ela unnaru_190,How are you? (190)
inka emaina kavala_191,inka emi kavali_191,Do you need anything else? (191)
vellipothunnanu_192,nenu velladam jarugutundi_192,I am going now (192)
ekkada kalustharu_193,meeru ekkada kalustharu_193,Where will you meet? (193)
meeru emi chesthunnaru_194,meeru emi chesthunnaru_194,What are you doing? (194)
evandi meeku ela vundi_195,meeru ela unnaru_195,How are you? (195)
inka emaina kavala_196,inka emi kavali_196,Do you need anything else? (196)
vellipothunnanu_197,nenu velladam jarugutundi_197,I am going now (197)
ekkada kalustharu_198,meeru ekkada kalustharu_198,Where will you meet? (198)
meeru emi chesthunnaru_199,meeru emi chesthunnaru_199,What are you doing? (199)
evandi meeku ela vundi_200,meeru ela unnaru_200,How are you? (200)
inka emaina kavala_201,inka emi kavali_201,Do you need anything else? (201)
vellipothunnanu_202,nenu velladam jarugutundi_202,I am going now (202)
ekkada kalustharu_203,meeru ekkada kalustharu_203,Where will you meet? (203)
meeru emi chesthunnaru_204,meeru emi chesthunnaru_204,What are you doing? (204)
evandi meeku ela vundi_205,meeru ela unnaru_205,How are you? (205)
inka emaina kavala_206,inka emi kavali_206,Do you need anything else? (206)
vellipothunnanu_207,nenu velladam jarugutundi_207,I am going now (207)
ekkada kalustharu_208,meeru ekkada kalustharu_208,Where will you meet? (208)
meeru emi chesthunnaru_209,meeru emi chesthunnaru_209,What are you doing? (209)
evandi meeku ela vundi_210,meeru ela unnaru_210,How are you? (210)
inka emaina kavala_211,inka emi kavali_211,Do you need anything else? (211)
vellipothunnanu_212,nenu velladam jarugutundi_212,I am going now (212)
ekkada kalustharu_213,meeru ekkada kalustharu_213,Where will you meet? (213)
meeru emi chesthunnaru_214,meeru emi chesthunnaru_214,What are you doing? (214)
evandi meeku ela vundi_215,meeru ela unnaru_215,How are you? (215)
inka emaina kavala_216,inka emi kavali_216,Do you need anything else? (216)
vellipothunnanu_217,nenu velladam jarugutundi_217,I am going now (217)
ekkada kalustharu_218,meeru ekkada kalustharu_218,Where will you meet? (218)
meeru emi chesthunnaru_219,meeru emi chesthunnaru_219,What are you doing? (219)
evandi meeku ela vundi_220,meeru ela unnaru_220,How are you? (220)
inka emaina kavala_221,inka emi kavali_221,Do you need anything else? (221)
vellipothunnanu_222,nenu velladam jarugutundi_222,I am going now (222)
ekkada kalustharu_223,meeru ekkada kalustharu_223,Where will you meet? (223)
meeru emi chesthunnaru_224,meeru emi chesthunnaru_224,What are you doing? (224)
evandi meeku ela vundi_225,meeru ela unnaru_225,How are you? (225)
inka emaina kavala_226,inka emi kavali_226,Do you need anything else? (226)
vellipothunnanu_227,nenu velladam jarugutundi_227,I am going now (227)
ekkada kalustharu_228,meeru ekkada kalustharu_228,Where will you meet? (228)
meeru emi chesthunnaru_229,meeru emi chesthunnaru_229,What are you doing? (229)
evandi meeku ela vundi_230,meeru ela unnaru_230,How are you? (230)
inka emaina kavala_231,inka emi kavali_231,Do you need anything else? (231)
vellipothunnanu_232,nenu velladam jarugutundi_232,I am going now (232)
ekkada kalustharu_233,meeru ekkada kalustharu_233,Where will you meet? (233)
meeru emi chesthunnaru_234,meeru emi chesthunnaru_234,What are you doing? (234)
evandi meeku ela vundi_235,meeru ela unnaru_235,How are you? (235)
inka emaina kavala_236,inka emi kavali_236,Do you need anything else? (236)
vellipothunnanu_237,nenu velladam jarugutundi_237,I am going now (237)
ekkada kalustharu_238,meeru ekkada kalustharu_238,Where will you meet? (238)
meeru emi chesthunnaru_239,meeru emi chesthunnaru_239,What are you doing? (239)
evandi meeku ela vundi_240,meeru ela unnaru_240,How are you? (240)
inka emaina kavala_241,inka emi kavali_241,Do you need anything else? (241)
vellipothunnanu_242,nenu velladam jarugutundi_242,I am going now (242)
ekkada kalustharu_243,meeru ekkada kalustharu_243,Where will you meet? (243)
meeru emi chesthunnaru_244,meeru emi chesthunnaru_244,What are you doing? (244)
evandi meeku ela vundi_245,meeru ela unnaru_245,How are you? (245)
inka emaina kavala_246,inka emi kavali_246,Do you need anything else? (246)
vellipothunnanu_247,nenu velladam jarugutundi_247,I am going now (247)
ekkada kalustharu_248,meeru ekkada kalustharu_248,Where will you meet? (248)
meeru emi chesthunnaru_249,meeru emi chesthunnaru_249,What are you doing? (249)
